,Contracted with VSS? (1=yes; 2=no),Facility level (Trung ương=central; tỉnh=provincial; huyện=district),Facility name-VN,Name_English,Facility type-VN,Type_name,Sectoral (1:health sector; 2:other sector;3:private sector),address,longitude,latitude,phone,hyperlink,pro_name_e,dist_name_e
0,1,tỉnh,Bệnh viện đa khoa Xanh Pôn,Saint Paul Municipal General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"12 Chu Văn An, Phường Điện Biên, Quận Ba Đình, Hà Nội",105.83558566,21.03161003,967711616,,Ha Noi,Ba Dinh District
1,1,,Bệnh viện Hữu nghị Việt Đức (CS1 Hà Nội),Viet Duc (University) Hospital (CS1,bệnh viện chuyên khoa trung ương,Central specialized hospital,1.0,"40 Tràng Thi, P. Hàng Bông, Q. Hoàn Kiếm, Hà Nội",105.84535321,21.029563144,(024) 3825 3531 ,http://www.vietduchospital.edu.vn/; http://benhvienvietduc.org/,Ha Noi,Hoan Kiem District
2,1,tỉnh,Bệnh viện Tim Hà Nội (CS1),Hanoi Municipal Heart Hospital (CS1),bệnh viện chuyên khoa tỉnh,Provincial specialized hospital,1.0,"92 Trần Hưng Đạo, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội",105.84387402,21.02356993,(024) 3944 9292,,Ha Noi,Hoan Kiem District
3,1,tỉnh,Bệnh viện đa khoa Đức Giang,Duc Giang General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"54 Trường Lam, Phường Đức Giang, Quận Long Biên, Hà Nội",105.89809387,21.06169741,966381616,,Ha Noi,Long Bien District
4,1,trung ương,Bệnh viện E ,E Hospital ,bệnh viện đa khoa trung ương,Central general hospital,1.0,"89 Trần Cung, Nghĩa Tân, Cau Giấy, Hà Nội, Vietnam",105.78975515,21.05056568,(024) 3754 3650,http://www.ehospital.vn/,Ha Noi,Cau Giay District
5,1,trung ương,Bệnh viện Bạch Mai (CS1),Bach Mai Hospital,bệnh viện đa khoa trung ương,Central general hospital,1.0,"78 Đường Giải Phóng, Phuong Mai, Đống Da, Hà Nội",105.84098941,21.00242559,(024) 3868 6074,http://bachmai.gov.vn/,Ha Noi,Dong Da District
6,1,,Bệnh viện Đại học Y Hà Nội,Hanoi Medical University Hospital,bệnh viện đại học/học viện/cao đẳng,University/academy/college hospital,1.0,"1 Tôn Thất Tùng, Tôn Thất Tùng, Phường Trung Tự, Quận Đống Da, Hà Nội",105.82989159,21.00244217,(024) 6291 3575,www.benhviendhyhanoi.com.vn,Ha Noi,Dong Da District
7,1,,Bệnh viện Lão khoa Trung ương,National Geriatric Hospital,bệnh viện chuyên khoa trung ương,Central specialized hospital,1.0,"Số 1A, Phuong Mai, Đống Da, Hà Nội",105.837654864,21.004657682,(024) 3576 0750,http://benhvienlaokhoa.vn/,Ha Noi,Dong Da District
8,1,tỉnh,Bệnh viện Thanh Nhàn Hà Nội (Tiền thân là BV Đa khoa Hai Bà Trưng),Hanoi Thanh Nhan Municipal Hospital (formerly Hai Ba Trung Hospital),bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"42 Thanh Nhan, Thanh Nhan, Phường Thanh Nhan, Quận Hai Bà Trưng, Hà Nội",105.8588615,21.00289623,(024) 3971 4373,,Ha Noi,Hai Ba Trung District
9,1,trung ương,Bệnh viện Trung ương Quân đội 108,108 Military Central Hospital,bệnh viện đa khoa ngành,Sectoral general hospital ,2.0,"Số 1 Trần Hưng Đạo, Hai Bà Trưng, Hà Nội",105.86122544,21.01724158,69572400,http://benhvien108.vn/,Ha Noi,Hai Ba Trung District
